축제명,연령대,남성비율,여성비율
이천쌀문화축제,70세 이상,3.2,2.3
이천쌀문화축제,60~69세,10.6,7.4
이천쌀문화축제,50~59세,14.6,11.2
이천쌀문화축제,40~49세,10.6,7.8
이천쌀문화축제,30~39세,8.9,6.2
이천쌀문화축제,20~29세,6.6,5.1
이천쌀문화축제,10~19세,2.1,2.8
이천쌀문화축제,0~9세,0.3,0.3
