축제명,연령대,남성비율,여성비율
하동야생차문화축제,70세 이상,4.5,4.3
하동야생차문화축제,60~69세,11.6,10.4
하동야생차문화축제,50~59세,12.1,14.5
하동야생차문화축제,40~49세,8.4,8.2
하동야생차문화축제,30~39세,5.7,5.9
하동야생차문화축제,20~29세,4.0,5.2
하동야생차문화축제,10~19세,2.1,2.1
하동야생차문화축제,0~9세,0.4,0.6
