축제명,연령대,남성비율,여성비율
한성백제문화제,70세 이상,2.7,2.8
한성백제문화제,60~69세,6.1,7.5
한성백제문화제,50~59세,7.8,9.3
한성백제문화제,40~49세,8.4,8.7
한성백제문화제,30~39세,9.3,10.5
한성백제문화제,20~29세,8.3,11.8
한성백제문화제,10~19세,3.1,3.0
한성백제문화제,0~9세,0.3,0.3
