축제명,연령대,남성비율,여성비율
고령대가야축제,70세 이상,3.4,3.0
고령대가야축제,60~69세,9.4,7.5
고령대가야축제,50~59세,13.8,11.8
고령대가야축제,40~49세,9.9,8.7
고령대가야축제,30~39세,6.6,6.2
고령대가야축제,20~29세,5.8,4.8
고령대가야축제,10~19세,4.1,3.3
고령대가야축제,0~9세,0.8,0.8
