축제명,연령대,남성비율,여성비율
강경젓갈축제,70세 이상,5.4,4.7
강경젓갈축제,60~69세,12.6,11.3
강경젓갈축제,50~59세,12.5,12.3
강경젓갈축제,40~49세,8.4,7.3
강경젓갈축제,30~39세,5.6,4.9
강경젓갈축제,20~29세,4.4,4.4
강경젓갈축제,10~19세,2.6,2.7
강경젓갈축제,0~9세,0.3,0.5
