축제명,연령대,남성비율,여성비율
인천펜타포트음악축제,70세 이상,0.9,0.9
인천펜타포트음악축제,60~69세,3.6,2.6
인천펜타포트음악축제,50~59세,6.9,6.0
인천펜타포트음악축제,40~49세,9.6,8.5
인천펜타포트음악축제,30~39세,11.1,11.7
인천펜타포트음악축제,20~29세,11.2,17.5
인천펜타포트음악축제,10~19세,4.0,4.4
인천펜타포트음악축제,0~9세,0.6,0.6
