축제명,연령대,남성비율,여성비율
정남진장흥물축제,70세 이상,3.6,3.5
정남진장흥물축제,60~69세,8.0,6.5
정남진장흥물축제,50~59세,11.6,10.5
정남진장흥물축제,40~49세,9.9,9.0
정남진장흥물축제,30~39세,6.8,6.6
정남진장흥물축제,20~29세,6.5,5.5
정남진장흥물축제,10~19세,5.2,4.9
정남진장흥물축제,0~9세,0.8,1.0
