축제명,연령대,남성비율,여성비율
춘천마임축제,70세 이상,3.6,3.2
춘천마임축제,60~69세,8.9,7.1
춘천마임축제,50~59세,10.1,9.7
춘천마임축제,40~49세,8.4,7.6
춘천마임축제,30~39세,9.0,7.8
춘천마임축제,20~29세,8.6,7.9
춘천마임축제,10~19세,3.5,3.3
춘천마임축제,0~9세,0.6,0.6
