축제명,연령대,남성비율,여성비율
시흥갯골축제,70세 이상,2.1,1.7
시흥갯골축제,60~69세,6.4,5.0
시흥갯골축제,50~59세,10.3,9.4
시흥갯골축제,40~49세,11.1,9.7
시흥갯골축제,30~39세,10.6,10.3
시흥갯골축제,20~29세,6.3,6.9
시흥갯골축제,10~19세,4.0,4.2
시흥갯골축제,0~9세,1.0,0.9
