축제명,연령대,남성비율,여성비율
석장리세계구석기축제,70세 이상,2.3,2.2
석장리세계구석기축제,60~69세,7.0,5.4
석장리세계구석기축제,50~59세,11.4,9.8
석장리세계구석기축제,40~49세,11.4,9.8
석장리세계구석기축제,30~39세,9.1,9.0
석장리세계구석기축제,20~29세,7.1,6.5
석장리세계구석기축제,10~19세,3.8,3.6
석장리세계구석기축제,0~9세,0.7,0.9
