축제명,연령대,남성비율,여성비율
화성뱃놀이축제,70세 이상,2.6,2.0
화성뱃놀이축제,60~69세,9.2,6.0
화성뱃놀이축제,50~59세,13.4,9.4
화성뱃놀이축제,40~49세,12.8,7.5
화성뱃놀이축제,30~39세,11.3,7.9
화성뱃놀이축제,20~29세,7.6,5.0
화성뱃놀이축제,10~19세,2.0,1.8
화성뱃놀이축제,0~9세,0.6,0.8
