축제명,연령대,남성비율,여성비율
울산옹기축제,70세 이상,2.3,1.9
울산옹기축제,60~69세,7.3,5.6
울산옹기축제,50~59세,12.3,10.9
울산옹기축제,40~49세,11.1,10.2
울산옹기축제,30~39세,7.9,7.0
울산옹기축제,20~29세,6.4,5.6
울산옹기축제,10~19세,5.4,4.6
울산옹기축제,0~9세,0.7,0.9
