축제명,연령대,남성비율,여성비율
지용제,70세 이상,3.2,3.0
지용제,60~69세,8.8,7.1
지용제,50~59세,12.8,11.0
지용제,40~49세,10.1,8.8
지용제,30~39세,6.7,5.4
지용제,20~29세,7.1,4.9
지용제,10~19세,5.1,4.4
지용제,0~9세,0.8,0.9
