축제명,연령대,남성비율,여성비율
순창장류축제,70세 이상,4.0,4.0
순창장류축제,60~69세,11.4,8.9
순창장류축제,50~59세,13.7,12.5
순창장류축제,40~49세,9.4,8.3
순창장류축제,30~39세,6.2,5.5
순창장류축제,20~29세,4.8,3.9
순창장류축제,10~19세,3.2,3.3
순창장류축제,0~9세,0.5,0.4
