축제명,연령대,남성비율,여성비율
목포항구축제,70세 이상,4.9,4.1
목포항구축제,60~69세,11.5,9.2
목포항구축제,50~59세,12.8,10.9
목포항구축제,40~49세,9.7,7.0
목포항구축제,30~39세,7.6,5.6
목포항구축제,20~29세,6.3,4.5
목포항구축제,10~19세,2.5,2.5
목포항구축제,0~9세,0.4,0.4
